"","region","year_group","country_txt","type_sankey","target_sankey","dbsource_sankey","count_attacks","kills","wounded"
"524","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Police","PGIS",3,16,12
"525","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Business, Utilities & Communication","PGIS",75,358,999
"526","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Business, Utilities & Communication","Other Source",1,0,0
"527","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Unknown, religious & militia","PGIS",23,146,195
"528","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Government","PGIS",41,153,662
"529","Middle East & North Africa","1985-1989","Lebanon","Bombing/Explosion","Transportation","PGIS",12,14,106
"530","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Private Citizens & Property","PGIS",1,0,2
"531","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Military","PGIS",53,20,54
"532","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Business, Utilities & Communication","PGIS",3,6,4
"533","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Unknown, religious & militia","PGIS",2,3,4
"534","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Unknown, religious & militia","Other Source",1,1,0
"535","Middle East & North Africa","1985-1989","Lebanon","Armed Assault","Government","PGIS",3,6,3
"536","Middle East & North Africa","1985-1989","Lebanon","Assassination","Private Citizens & Property","PGIS",5,11,0
"537","Middle East & North Africa","1985-1989","Lebanon","Assassination","Military","PGIS",14,17,5
"538","Middle East & North Africa","1985-1989","Lebanon","Assassination","Military","Other Source",1,1,0
"539","Middle East & North Africa","1985-1989","Lebanon","Assassination","Police","PGIS",1,0,1
"540","Middle East & North Africa","1985-1989","Lebanon","Assassination","Business, Utilities & Communication","PGIS",11,10,4
"541","Middle East & North Africa","1985-1989","Lebanon","Assassination","Unknown, religious & militia","PGIS",40,49,103
"542","Middle East & North Africa","1985-1989","Lebanon","Assassination","Government","PGIS",32,37,67
"543","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Private Citizens & Property","PGIS",12,2,0
"544","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Private Citizens & Property","Other Source",2,0,0
"545","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Military","PGIS",2,2,2
"546","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Business, Utilities & Communication","PGIS",38,1,0
"547","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Business, Utilities & Communication","Other Source",1,0,0
"548","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Unknown, religious & militia","PGIS",5,2,0
"549","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Unknown, religious & militia","Other Source",1,0,0
"550","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Government","PGIS",22,2,0
"551","Middle East & North Africa","1985-1989","Lebanon","Hostage Taking","Transportation","PGIS",2,0,0
"552","Middle East & North Africa","1985-1989","Lebanon","Unknown","Military","PGIS",2,4,4
"553","Middle East & North Africa","1985-1989","Lebanon","Unknown","Business, Utilities & Communication","PGIS",2,0,0
"554","Middle East & North Africa","1985-1989","Lebanon","Unarmed Assault","Unknown, religious & militia","Other Source",1,0,0
"555","Middle East & North Africa","1985-1989","Lebanon","Hijacking","Transportation","PGIS",3,0,0
"556","Middle East & North Africa","1985-1989","Lebanon","Hijacking","Transportation","Other Source",1,0,0
"557","Middle East & North Africa","1985-1989","Morocco","Armed Assault","Transportation","PGIS",2,2,2
"558","Middle East & North Africa","1985-1989","Morocco","Assassination","Government","PGIS",1,0,0
"559","Middle East & North Africa","1985-1989","Morocco","Unknown","Military","PGIS",4,200,0
"560","Middle East & North Africa","1985-1989","Morocco","Hijacking","Transportation","PGIS",1,0,0
"561","Middle East & North Africa","1985-1989","North Yemen","Bombing/Explosion","Government","PGIS",1,0,0
"562","Middle East & North Africa","1985-1989","Qatar","Assassination","Private Citizens & Property","PGIS",1,3,0
"563","Middle East & North Africa","1985-1989","Saudi Arabia","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"564","Middle East & North Africa","1985-1989","Saudi Arabia","Bombing/Explosion","Unknown, religious & militia","PGIS",4,2,19
"565","Middle East & North Africa","1985-1989","Saudi Arabia","Hijacking","Transportation","PGIS",2,62,32
"566","Middle East & North Africa","1985-1989","Syria","Bombing/Explosion","Private Citizens & Property","PGIS",1,0,8
"567","Middle East & North Africa","1985-1989","Syria","Bombing/Explosion","Business, Utilities & Communication","PGIS",2,30,30
"568","Middle East & North Africa","1985-1989","Syria","Bombing/Explosion","Unknown, religious & militia","PGIS",1,7,0
"569","Middle East & North Africa","1985-1989","Syria","Assassination","Unknown, religious & militia","PGIS",1,1,0
"570","Middle East & North Africa","1985-1989","Syria","Assassination","Government","PGIS",1,0,0
"571","Middle East & North Africa","1985-1989","Tunisia","Bombing/Explosion","Business, Utilities & Communication","PGIS",4,0,13
"572","Middle East & North Africa","1985-1989","Tunisia","Bombing/Explosion","Government","PGIS",1,0,0
"573","Middle East & North Africa","1985-1989","Tunisia","Armed Assault","Government","PGIS",1,0,0
"574","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Private Citizens & Property","PGIS",13,92,43
"575","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Military","PGIS",3,3,3
"576","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Police","PGIS",4,1,3
"577","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Business, Utilities & Communication","PGIS",12,9,12
"578","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Unknown, religious & militia","PGIS",2,0,0
"579","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Government","PGIS",13,1,6
"580","Middle East & North Africa","1985-1989","Turkey","Bombing/Explosion","Transportation","PGIS",6,4,9
"581","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Private Citizens & Property","PGIS",33,140,18
"582","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Military","PGIS",24,97,15
"583","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Police","PGIS",24,81,18
"584","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Business, Utilities & Communication","PGIS",6,3,10
"585","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Government","PGIS",3,31,0
"586","Middle East & North Africa","1985-1989","Turkey","Armed Assault","Transportation","PGIS",3,8,0
"587","Middle East & North Africa","1985-1989","Turkey","Assassination","Private Citizens & Property","PGIS",8,21,6
"588","Middle East & North Africa","1985-1989","Turkey","Assassination","Military","PGIS",1,1,1
"589","Middle East & North Africa","1985-1989","Turkey","Assassination","Police","PGIS",2,1,2
"590","Middle East & North Africa","1985-1989","Turkey","Assassination","Business, Utilities & Communication","PGIS",5,6,1
"591","Middle East & North Africa","1985-1989","Turkey","Assassination","Government","PGIS",9,4,3
"592","Middle East & North Africa","1985-1989","Turkey","Hostage Taking","Private Citizens & Property","PGIS",15,19,0
"593","Middle East & North Africa","1985-1989","Turkey","Unknown","Private Citizens & Property","PGIS",2,2,5
"594","Middle East & North Africa","1985-1989","Turkey","Unknown","Military","PGIS",1,1,3
"595","Middle East & North Africa","1985-1989","Turkey","Unknown","Police","PGIS",1,1,0
"596","Middle East & North Africa","1985-1989","Turkey","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",2,1,0
"597","Middle East & North Africa","1985-1989","Turkey","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",13,0,0
"598","Middle East & North Africa","1985-1989","Turkey","Facility/Infrastructure Attack","Unknown, religious & militia","PGIS",1,21,3
"599","Middle East & North Africa","1985-1989","Turkey","Facility/Infrastructure Attack","Government","PGIS",1,0,0
"600","Middle East & North Africa","1985-1989","Turkey","Unarmed Assault","Private Citizens & Property","PGIS",1,0,0
"601","Middle East & North Africa","1985-1989","United Arab Emirates","Bombing/Explosion","Business, Utilities & Communication","PGIS",1,0,0
"602","Middle East & North Africa","1985-1989","United Arab Emirates","Bombing/Explosion","Transportation","PGIS",1,0,0
"603","Middle East & North Africa","1985-1989","United Arab Emirates","Assassination","Military","PGIS",1,1,0
"604","Middle East & North Africa","1985-1989","United Arab Emirates","Assassination","Government","PGIS",1,0,1
"605","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Private Citizens & Property","PGIS",6,1,17
"606","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Military","PGIS",11,0,17
"607","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Police","PGIS",1,0,0
"608","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Business, Utilities & Communication","PGIS",2,0,5
"609","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Government","PGIS",3,0,1
"610","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Bombing/Explosion","Transportation","PGIS",1,0,3
"611","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Private Citizens & Property","PGIS",4,0,0
"612","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Military","PGIS",11,5,4
"613","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Police","PGIS",3,0,0
"614","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Business, Utilities & Communication","PGIS",1,0,0
"615","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Government","PGIS",2,1,5
"616","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Armed Assault","Transportation","PGIS",6,7,4
"617","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Private Citizens & Property","PGIS",63,57,9
"618","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Private Citizens & Property","Other Source",1,1,0
"619","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Military","PGIS",3,3,0
"620","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Business, Utilities & Communication","PGIS",4,3,0
"621","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Unknown, religious & militia","PGIS",2,2,0
"622","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Assassination","Government","PGIS",7,5,3
"623","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Hostage Taking","Private Citizens & Property","PGIS",2,2,0
"624","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Hostage Taking","Military","PGIS",1,0,0
"625","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Hostage Taking","Business, Utilities & Communication","PGIS",1,0,0
"626","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Hostage Taking","Transportation","PGIS",1,0,0
"627","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Unknown","Military","PGIS",1,0,4
"628","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Facility/Infrastructure Attack","Military","PGIS",2,1,2
"629","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"630","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Unarmed Assault","Private Citizens & Property","PGIS",2,1,1
"631","Middle East & North Africa","1985-1989","West Bank and Gaza Strip","Unarmed Assault","Military","PGIS",1,0,1
"632","Middle East & North Africa","1985-1989","Western Sahara","Armed Assault","Transportation","PGIS",1,1,0
"633","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Private Citizens & Property","PGIS",2,5,0
"634","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Military","PGIS",1,0,0
"635","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Police","PGIS",7,3,2
"636","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Business, Utilities & Communication","PGIS",18,6,7
"637","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Unknown, religious & militia","PGIS",4,5,2
"638","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Government","PGIS",10,6,72
"639","Middle East & North Africa","1990-1994","Algeria","Bombing/Explosion","Transportation","PGIS",11,9,100
"640","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Private Citizens & Property","PGIS",2,1,1
"641","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Military","PGIS",17,107,26
"642","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Police","PGIS",99,234,164
"643","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Business, Utilities & Communication","PGIS",5,12,7
"644","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Unknown, religious & militia","PGIS",1,0,0
"645","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Government","PGIS",4,11,1
"646","Middle East & North Africa","1990-1994","Algeria","Armed Assault","Transportation","PGIS",5,5,0
"647","Middle East & North Africa","1990-1994","Algeria","Assassination","Private Citizens & Property","PGIS",39,48,4
"648","Middle East & North Africa","1990-1994","Algeria","Assassination","Military","PGIS",7,7,2
"649","Middle East & North Africa","1990-1994","Algeria","Assassination","Police","PGIS",71,78,27
"650","Middle East & North Africa","1990-1994","Algeria","Assassination","Business, Utilities & Communication","PGIS",37,38,14
"651","Middle East & North Africa","1990-1994","Algeria","Assassination","Unknown, religious & militia","PGIS",10,20,0
"652","Middle East & North Africa","1990-1994","Algeria","Assassination","Government","PGIS",42,50,37
"653","Middle East & North Africa","1990-1994","Algeria","Hostage Taking","Private Citizens & Property","PGIS",7,19,0
"654","Middle East & North Africa","1990-1994","Algeria","Hostage Taking","Police","PGIS",3,5,0
"655","Middle East & North Africa","1990-1994","Algeria","Hostage Taking","Business, Utilities & Communication","PGIS",5,3,1
"656","Middle East & North Africa","1990-1994","Algeria","Hostage Taking","Government","PGIS",8,5,0
"657","Middle East & North Africa","1990-1994","Algeria","Unknown","Private Citizens & Property","PGIS",3,12,0
"658","Middle East & North Africa","1990-1994","Algeria","Unknown","Police","PGIS",4,61,0
"659","Middle East & North Africa","1990-1994","Algeria","Unknown","Business, Utilities & Communication","PGIS",2,4,9
"660","Middle East & North Africa","1990-1994","Algeria","Unknown","Unknown, religious & militia","PGIS",1,6,0
"661","Middle East & North Africa","1990-1994","Algeria","Unknown","Government","PGIS",1,0,0
"662","Middle East & North Africa","1990-1994","Algeria","Unknown","Transportation","PGIS",2,7,0
"663","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",2,1,0
"664","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Military","PGIS",1,8,2
"665","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Police","PGIS",4,0,3
"666","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",30,0,0
"667","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Government","PGIS",3,2,0
"668","Middle East & North Africa","1990-1994","Algeria","Facility/Infrastructure Attack","Transportation","PGIS",1,0,0
"669","Middle East & North Africa","1990-1994","Algeria","Hijacking","Business, Utilities & Communication","PGIS",1,0,0
"670","Middle East & North Africa","1990-1994","Algeria","Hijacking","Transportation","PGIS",3,3,0
"671","Middle East & North Africa","1990-1994","Algeria","Hijacking","Transportation","Other Source",1,0,0
"672","Middle East & North Africa","1990-1994","Bahrain","Assassination","Police","PGIS",1,1,0
"673","Middle East & North Africa","1990-1994","Bahrain","Unarmed Assault","Private Citizens & Property","PGIS",1,0,3
"674","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Private Citizens & Property","PGIS",3,11,20
"675","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Police","PGIS",6,6,12
"676","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Business, Utilities & Communication","PGIS",11,0,4
"677","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Unknown, religious & militia","PGIS",2,1,2
"678","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Government","PGIS",1,0,0
"679","Middle East & North Africa","1990-1994","Egypt","Bombing/Explosion","Transportation","PGIS",1,0,11
"680","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Private Citizens & Property","PGIS",11,10,35
"681","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Police","PGIS",60,96,104
"682","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Business, Utilities & Communication","PGIS",9,7,16
"683","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Unknown, religious & militia","PGIS",4,13,14
"684","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Government","PGIS",1,0,4
"685","Middle East & North Africa","1990-1994","Egypt","Armed Assault","Transportation","PGIS",9,0,18
"686","Middle East & North Africa","1990-1994","Egypt","Assassination","Private Citizens & Property","PGIS",12,14,10
"687","Middle East & North Africa","1990-1994","Egypt","Assassination","Police","PGIS",68,66,43
"688","Middle East & North Africa","1990-1994","Egypt","Assassination","Business, Utilities & Communication","PGIS",6,5,3
"689","Middle East & North Africa","1990-1994","Egypt","Assassination","Unknown, religious & militia","PGIS",5,8,1
"690","Middle East & North Africa","1990-1994","Egypt","Assassination","Government","PGIS",6,10,2
"691","Middle East & North Africa","1990-1994","Egypt","Unknown","Police","PGIS",6,4,4
"692","Middle East & North Africa","1990-1994","Egypt","Unknown","Business, Utilities & Communication","PGIS",1,0,5
"693","Middle East & North Africa","1990-1994","Egypt","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",9,0,0
"694","Middle East & North Africa","1990-1994","Egypt","Facility/Infrastructure Attack","Police","PGIS",1,0,0
"695","Middle East & North Africa","1990-1994","Egypt","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",11,0,6
"696","Middle East & North Africa","1990-1994","Egypt","Facility/Infrastructure Attack","Unknown, religious & militia","PGIS",1,0,0
"697","Middle East & North Africa","1990-1994","Egypt","Unarmed Assault","Police","PGIS",1,0,0
"698","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Private Citizens & Property","PGIS",7,3,0
"699","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Military","PGIS",6,0,150
"700","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Police","PGIS",4,0,0
"701","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Business, Utilities & Communication","PGIS",8,0,0
"702","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Unknown, religious & militia","PGIS",3,70,100
"703","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Government","PGIS",19,0,20
"704","Middle East & North Africa","1990-1994","Iran","Bombing/Explosion","Transportation","PGIS",2,0,0
"705","Middle East & North Africa","1990-1994","Iran","Armed Assault","Military","PGIS",9,4,60
"706","Middle East & North Africa","1990-1994","Iran","Armed Assault","Police","PGIS",1,2,0
"707","Middle East & North Africa","1990-1994","Iran","Armed Assault","Business, Utilities & Communication","PGIS",1,0,0
"708","Middle East & North Africa","1990-1994","Iran","Armed Assault","Unknown, religious & militia","PGIS",1,0,0
"709","Middle East & North Africa","1990-1994","Iran","Armed Assault","Government","PGIS",3,0,0
"710","Middle East & North Africa","1990-1994","Iran","Assassination","Police","PGIS",1,1,2
"711","Middle East & North Africa","1990-1994","Iran","Assassination","Unknown, religious & militia","PGIS",3,3,1
"712","Middle East & North Africa","1990-1994","Iran","Assassination","Government","PGIS",1,0,0
"713","Middle East & North Africa","1990-1994","Iran","Hostage Taking","Business, Utilities & Communication","PGIS",1,1,1
"714","Middle East & North Africa","1990-1994","Iran","Hostage Taking","Unknown, religious & militia","PGIS",1,1,0
"715","Middle East & North Africa","1990-1994","Iran","Unknown","Military","PGIS",2,6,0
"716","Middle East & North Africa","1990-1994","Iran","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",1,0,0
"717","Middle East & North Africa","1990-1994","Iran","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",1,0,0
"718","Middle East & North Africa","1990-1994","Iran","Facility/Infrastructure Attack","Government","PGIS",3,0,0
"719","Middle East & North Africa","1990-1994","Iran","Hijacking","Transportation","PGIS",1,4,0
"720","Middle East & North Africa","1990-1994","Iraq","Bombing/Explosion","Private Citizens & Property","PGIS",2,0,2
"721","Middle East & North Africa","1990-1994","Iraq","Bombing/Explosion","Police","PGIS",1,0,0
"722","Middle East & North Africa","1990-1994","Iraq","Bombing/Explosion","Business, Utilities & Communication","PGIS",6,5,41
"723","Middle East & North Africa","1990-1994","Iraq","Bombing/Explosion","Unknown, religious & militia","PGIS",2,14,103
"724","Middle East & North Africa","1990-1994","Iraq","Bombing/Explosion","Government","PGIS",11,8,58
"725","Middle East & North Africa","1990-1994","Iraq","Armed Assault","Private Citizens & Property","PGIS",1,51,40
"726","Middle East & North Africa","1990-1994","Iraq","Armed Assault","Military","PGIS",6,21,5
"727","Middle East & North Africa","1990-1994","Iraq","Armed Assault","Business, Utilities & Communication","PGIS",3,2,4
"728","Middle East & North Africa","1990-1994","Iraq","Armed Assault","Unknown, religious & militia","PGIS",3,14,0
"729","Middle East & North Africa","1990-1994","Iraq","Armed Assault","Government","PGIS",4,60,3
"730","Middle East & North Africa","1990-1994","Iraq","Assassination","Private Citizens & Property","PGIS",1,1,0
"731","Middle East & North Africa","1990-1994","Iraq","Assassination","Military","PGIS",3,2,0
"732","Middle East & North Africa","1990-1994","Iraq","Assassination","Police","PGIS",1,1,0
"733","Middle East & North Africa","1990-1994","Iraq","Assassination","Business, Utilities & Communication","PGIS",1,2,0
"734","Middle East & North Africa","1990-1994","Iraq","Assassination","Unknown, religious & militia","PGIS",1,1,0
"735","Middle East & North Africa","1990-1994","Iraq","Assassination","Government","PGIS",6,6,2
"736","Middle East & North Africa","1990-1994","Iraq","Unknown","Military","PGIS",1,1,0
"737","Middle East & North Africa","1990-1994","Iraq","Unknown","Government","PGIS",2,1,0
"738","Middle East & North Africa","1990-1994","Iraq","Facility/Infrastructure Attack","Military","PGIS",1,3,27
"739","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Private Citizens & Property","PGIS",31,11,53
"740","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Military","PGIS",7,2,17
"741","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Police","PGIS",1,0,0
"742","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Business, Utilities & Communication","PGIS",7,2,18
"743","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Unknown, religious & militia","PGIS",3,0,6
"744","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Government","PGIS",2,1,5
"745","Middle East & North Africa","1990-1994","Israel","Bombing/Explosion","Transportation","PGIS",15,37,115
"746","Middle East & North Africa","1990-1994","Israel","Armed Assault","Private Citizens & Property","PGIS",22,7,24
"747","Middle East & North Africa","1990-1994","Israel","Armed Assault","Military","PGIS",12,17,4
"748","Middle East & North Africa","1990-1994","Israel","Armed Assault","Police","PGIS",4,3,8
"749","Middle East & North Africa","1990-1994","Israel","Armed Assault","Business, Utilities & Communication","PGIS",1,0,1
"750","Middle East & North Africa","1990-1994","Israel","Armed Assault","Government","PGIS",3,0,1
"751","Middle East & North Africa","1990-1994","Israel","Armed Assault","Transportation","PGIS",6,0,10
"752","Middle East & North Africa","1990-1994","Israel","Assassination","Private Citizens & Property","PGIS",76,47,62
"753","Middle East & North Africa","1990-1994","Israel","Assassination","Military","PGIS",14,8,13
"754","Middle East & North Africa","1990-1994","Israel","Assassination","Police","PGIS",11,4,11
"755","Middle East & North Africa","1990-1994","Israel","Assassination","Business, Utilities & Communication","PGIS",17,10,9
"756","Middle East & North Africa","1990-1994","Israel","Assassination","Unknown, religious & militia","PGIS",1,0,1
"757","Middle East & North Africa","1990-1994","Israel","Assassination","Government","PGIS",4,0,3
"758","Middle East & North Africa","1990-1994","Israel","Assassination","Transportation","PGIS",3,1,6
"759","Middle East & North Africa","1990-1994","Israel","Hostage Taking","Private Citizens & Property","PGIS",8,7,2
"760","Middle East & North Africa","1990-1994","Israel","Hostage Taking","Military","PGIS",1,1,0
"761","Middle East & North Africa","1990-1994","Israel","Hostage Taking","Police","PGIS",2,1,1
"762","Middle East & North Africa","1990-1994","Israel","Unknown","Private Citizens & Property","PGIS",3,0,0
"763","Middle East & North Africa","1990-1994","Israel","Unknown","Military","PGIS",5,3,7
"764","Middle East & North Africa","1990-1994","Israel","Unknown","Police","PGIS",1,0,0
"765","Middle East & North Africa","1990-1994","Israel","Unknown","Government","PGIS",2,0,0
"766","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",5,0,0
"767","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Military","PGIS",1,0,0
"768","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Police","PGIS",1,0,0
"769","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Business, Utilities & Communication","PGIS",2,0,0
"770","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Government","PGIS",7,0,0
"771","Middle East & North Africa","1990-1994","Israel","Facility/Infrastructure Attack","Transportation","PGIS",1,0,0
"772","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Private Citizens & Property","PGIS",3,21,121
"773","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Military","PGIS",6,3,28
"774","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Police","PGIS",1,0,1
"775","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Business, Utilities & Communication","PGIS",1,0,4
"776","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Unknown, religious & militia","PGIS",1,0,9
"777","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Government","PGIS",1,0,1
"778","Middle East & North Africa","1990-1994","Israel","Unarmed Assault","Transportation","PGIS",2,0,10
"779","Middle East & North Africa","1990-1994","Israel","Hijacking","Private Citizens & Property","PGIS",1,0,0
"780","Middle East & North Africa","1990-1994","Jordan","Bombing/Explosion","Military","PGIS",1,0,4
"781","Middle East & North Africa","1990-1994","Jordan","Bombing/Explosion","Business, Utilities & Communication","PGIS",5,0,2
"782","Middle East & North Africa","1990-1994","Jordan","Bombing/Explosion","Government","PGIS",1,0,0
"783","Middle East & North Africa","1990-1994","Jordan","Armed Assault","Private Citizens & Property","PGIS",2,0,6
"784","Middle East & North Africa","1990-1994","Jordan","Armed Assault","Business, Utilities & Communication","PGIS",1,0,0
"785","Middle East & North Africa","1990-1994","Jordan","Armed Assault","Government","PGIS",2,0,0
"786","Middle East & North Africa","1990-1994","Jordan","Assassination","Private Citizens & Property","PGIS",4,1,3
"787","Middle East & North Africa","1990-1994","Jordan","Assassination","Government","PGIS",1,1,2
"788","Middle East & North Africa","1990-1994","Jordan","Unknown","Police","PGIS",1,0,3
"789","Middle East & North Africa","1990-1994","Jordan","Facility/Infrastructure Attack","Private Citizens & Property","PGIS",1,0,0
"790","Middle East & North Africa","1990-1994","Jordan","Facility/Infrastructure Attack","Government","PGIS",3,0,0
"791","Middle East & North Africa","1990-1994","Kuwait","Bombing/Explosion","Military","PGIS",1,0,0
"792","Middle East & North Africa","1990-1994","Kuwait","Bombing/Explosion","Business, Utilities & Communication","PGIS",2,0,2
"793","Middle East & North Africa","1990-1994","Kuwait","Bombing/Explosion","Government","PGIS",1,1,0
"794","Middle East & North Africa","1990-1994","Kuwait","Armed Assault","Military","PGIS",2,0,4
"795","Middle East & North Africa","1990-1994","Kuwait","Armed Assault","Police","PGIS",3,1,1
"796","Middle East & North Africa","1990-1994","Kuwait","Armed Assault","Business, Utilities & Communication","PGIS",1,0,2
"797","Middle East & North Africa","1990-1994","Kuwait","Armed Assault","Unknown, religious & militia","PGIS",1,0,0
"798","Middle East & North Africa","1990-1994","Kuwait","Armed Assault","Government","PGIS",1,0,1
